Link Title,URL,Icon
CS324: Large Language Models,https://stanford-cs324.github.io/winter2022/lectures/introduction/,https://www.google.com/s2/favicons?domain=stanford-cs324.github.io&sz=32
CS221: Artificial Intelligence,https://stanford-cs221.github.io/,https://www.google.com/s2/favicons?domain=stanford-cs221.github.io&sz=32
CS229: Machine Learning,https://cs229.stanford.edu/,https://www.google.com/s2/favicons?domain=cs229.stanford.edu&sz=32
CS230: Deep Learning,https://cs230.stanford.edu/,https://www.google.com/s2/favicons?domain=cs230.stanford.edu&sz=32
CS231n: CNN for Visual Recognition,http://cs231n.stanford.edu/,https://www.google.com/s2/favicons?domain=cs231n.stanford.edu&sz=32
CS224n: NLP with Deep Learning,http://web.stanford.edu/class/cs224n/,https://www.google.com/s2/favicons?domain=web.stanford.edu&sz=32
CS224w: Machine Learning with Graphs,http://web.stanford.edu/class/cs224w/,https://www.google.com/s2/favicons?domain=web.stanford.edu&sz=32
CS224u: Natural Language Understanding,https://web.stanford.edu/class/cs224u/,https://www.google.com/s2/favicons?domain=web.stanford.edu&sz=32
CS234: Reinforcement Learning,https://web.stanford.edu/class/cs234/,https://www.google.com/s2/favicons?domain=web.stanford.edu&sz=32
CS330: Deep Multi-task Learning,https://cs330.stanford.edu/,https://www.google.com/s2/favicons?domain=cs330.stanford.edu&sz=32
CS25: Transformers United,https://web.stanford.edu/class/cs25/,https://www.google.com/s2/favicons?domain=web.stanford.edu&sz=32
Stanford ML Explainability,https://stanford-cs-325b.github.io/,https://www.google.com/s2/favicons?domain=stanford-cs-325b.github.io&sz=32
Stanford NLP,https://web.stanford.edu/class/archive/cs/cs224n/cs224n.1214/,https://www.google.com/s2/favicons?domain=web.stanford.edu&sz=32
CMU CS 11-711: Advanced NLP,http://phontron.com/class/anlp2024/,https://www.google.com/s2/favicons?domain=phontron.com&sz=32
CMU CS 11-747: Neural Networks for NLP,http://phontron.com/class/nn4nlp2024/,https://www.google.com/s2/favicons?domain=phontron.com&sz=32
CMU CS 11-737: Multilingual NLP,http://phontron.com/class/multilingual2024/,https://www.google.com/s2/favicons?domain=phontron.com&sz=32
CMU CS 11-785: Deep Learning,https://deeplearning.cs.cmu.edu/,https://www.google.com/s2/favicons?domain=deeplearning.cs.cmu.edu&sz=32
CMU CS 11-777: Multimodal ML,https://cmu-multicomp-lab.github.io/mmml-course/fall2023/,https://www.google.com/s2/favicons?domain=cmu-multicomp-lab.github.io&sz=32
CMU CS 10-708: Probabilistic Graphical Models,https://www.cs.cmu.edu/~epxing/Class/10708-20/,https://www.google.com/s2/favicons?domain=www.cs.cmu.edu&sz=32
CMU LTI Low Resource NLP,http://phontron.com/class/lti-colloquium2020/,https://www.google.com/s2/favicons?domain=phontron.com&sz=32
MIT OpenCourseWare,https://ocw.mit.edu/search/?t=Computer%20Science,https://www.google.com/s2/favicons?domain=ocw.mit.edu&sz=32
MIT 6.034: Artificial Intelligence,https://ocw.mit.edu/courses/6-034-artificial-intelligence-fall-2010/,https://www.google.com/s2/favicons?domain=ocw.mit.edu&sz=32
MIT 6.S094: Deep Learning,https://deeplearning.mit.edu/,https://www.google.com/s2/favicons?domain=deeplearning.mit.edu&sz=32
MIT 6.S191: Introduction to Deep Learning,http://introtodeeplearning.com/,https://www.google.com/s2/favicons?domain=introtodeeplearning.com&sz=32
MIT 6.S192: Deep Learning for Art,http://ali-design.mit.edu/classes/6.S192/,https://www.google.com/s2/favicons?domain=ali-design.mit.edu&sz=32
MIT 6.5940: TinyML,https://tinyml.mit.edu/,https://www.google.com/s2/favicons?domain=tinyml.mit.edu&sz=32
