Link Title,URL,Icon
Hugging Face Course,https://huggingface.co/learn/nlp-course/chapter1/1,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
Fast.ai Practical Deep Learning,https://course.fast.ai/,https://www.google.com/s2/favicons?domain=course.fast.ai&sz=32
Google Machine Learning Crash Course,https://developers.google.com/machine-learning/crash-course,https://www.google.com/s2/favicons?domain=developers.google.com&sz=32
TensorFlow Tutorials,https://www.tensorflow.org/tutorials,https://www.google.com/s2/favicons?domain=www.tensorflow.org&sz=32
PyTorch Tutorials,https://pytorch.org/tutorials/,https://www.google.com/s2/favicons?domain=pytorch.org&sz=32
Deep Learning Specialization,https://www.coursera.org/specializations/deep-learning,https://www.google.com/s2/favicons?domain=www.coursera.org&sz=32
ML YouTube Courses,https://github.com/dair-ai/ML-YouTube-Courses,https://www.google.com/s2/favicons?domain=github.com&sz=32
Papers with Code,https://paperswithcode.com/,https://www.google.com/s2/favicons?domain=paperswithcode.com&sz=32
Kaggle Learn,https://www.kaggle.com/learn,https://www.google.com/s2/favicons?domain=www.kaggle.com&sz=32
OpenAI Tutorials,https://platform.openai.com/docs/tutorials,https://www.google.com/s2/favicons?domain=platform.openai.com&sz=32
ML From Scratch,https://github.com/eriklindernoren/ML-From-Scratch,https://www.google.com/s2/favicons?domain=github.com&sz=32
Deep Learning Book,https://www.deeplearningbook.org/,https://www.google.com/s2/favicons?domain=www.deeplearningbook.org&sz=32
DeepMind Learning Resources,https://deepmind.com/learning-resources,https://www.google.com/s2/favicons?domain=deepmind.com&sz=32
UCL COMP M050: Reinforcement Learning,https://www.davidsilver.uk/teaching/,https://www.google.com/s2/favicons?domain=www.davidsilver.uk&sz=32
NYU Deep Learning,https://atcold.github.io/NYU-DLSP21/,https://www.google.com/s2/favicons?domain=atcold.github.io&sz=32
UCF Computer Vision,https://www.crcv.ucf.edu/courses/,https://www.google.com/s2/favicons?domain=www.crcv.ucf.edu&sz=32
UWaterloo CS480/680: Intro to ML,https://cs.uwaterloo.ca/~ppoupart/teaching/cs480-spring19/,https://www.google.com/s2/favicons?domain=cs.uwaterloo.ca&sz=32
UMass CS685: Advanced NLP,https://people.cs.umass.edu/~miyyer/cs685/,https://www.google.com/s2/favicons?domain=people.cs.umass.edu&sz=32
AMMI: Geometric Deep Learning,https://www.africamasters.uni-tuebingen.de/,https://www.google.com/s2/favicons?domain=www.africamasters.uni-tuebingen.de&sz=32
Cornell CS 5787: Applied ML,https://www.cs.cornell.edu/courses/cs5787/,https://www.google.com/s2/favicons?domain=www.cs.cornell.edu&sz=32
Full Stack Deep Learning,https://fullstackdeeplearning.com/,https://www.google.com/s2/favicons?domain=fullstackdeeplearning.com&sz=32
Neural Networks: Zero to Hero,https://karpathy.ai/zero-to-hero.html,https://www.google.com/s2/favicons?domain=karpathy.ai&sz=32
What is ChatGPT Doing,https://www.youtube.com/watch?v=flXrLGPY3SU,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
Cohere LLM University,https://docs.cohere.com/docs/llmu,https://www.google.com/s2/favicons?domain=docs.cohere.com&sz=32
