Link Title,URL,Icon
LangChain,https://github.com/langchain-ai/langchain,https://www.google.com/s2/favicons?domain=github.com&sz=32
vLLM,https://github.com/vllm-project/vllm,https://www.google.com/s2/favicons?domain=github.com&sz=32
llama.cpp,https://github.com/ggerganov/llama.cpp,https://www.google.com/s2/favicons?domain=github.com&sz=32
text-generation-webui,https://github.com/oobabooga/text-generation-webui,https://www.google.com/s2/favicons?domain=github.com&sz=32
FastChat,https://github.com/lm-sys/FastChat,https://www.google.com/s2/favicons?domain=github.com&sz=32
LocalAI,https://github.com/go-skynet/LocalAI,https://www.google.com/s2/favicons?domain=github.com&sz=32
LlamaIndex,https://github.com/jerryjliu/llama_index,https://www.google.com/s2/favicons?domain=github.com&sz=32
ExLlama,https://github.com/turboderp/exllama,https://www.google.com/s2/favicons?domain=github.com&sz=32
PEFT,https://github.com/huggingface/peft,https://www.google.com/s2/favicons?domain=github.com&sz=32
Transformers,https://github.com/huggingface/transformers,https://www.google.com/s2/favicons?domain=github.com&sz=32
GPT4All,https://github.com/nomic-ai/gpt4all,https://www.google.com/s2/favicons?domain=github.com&sz=32
Axolotl,https://github.com/OpenAccess-AI-Collective/axolotl,https://www.google.com/s2/favicons?domain=github.com&sz=32
OpenLLM,https://github.com/bentoml/OpenLLM,https://www.google.com/s2/favicons?domain=github.com&sz=32
lit-llama,https://github.com/Lightning-AI/lit-llama,https://www.google.com/s2/favicons?domain=github.com&sz=32
CTranslate2,https://github.com/OpenNMT/CTranslate2,https://www.google.com/s2/favicons?domain=github.com&sz=32
DeepSpeed,https://github.com/microsoft/DeepSpeed,https://www.google.com/s2/favicons?domain=github.com&sz=32
AutoGPT,https://github.com/Significant-Gravitas/Auto-GPT,https://www.google.com/s2/favicons?domain=github.com&sz=32
MLC-LLM,https://github.com/mlc-ai/mlc-llm,https://www.google.com/s2/favicons?domain=github.com&sz=32
LMFlow,https://github.com/OptimalScale/LMFlow,https://www.google.com/s2/favicons?domain=github.com&sz=32
LLaMA Factory,https://github.com/hiyouga/LLaMA-Factory,https://www.google.com/s2/favicons?domain=github.com&sz=32
