Link Title,URL,Icon
Llama-3-405B,https://huggingface.co/meta-llama/Llama-3-405b,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
Llama-3-70B,https://huggingface.co/meta-llama/Llama-3-70b,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
Llama-3-32B,https://huggingface.co/meta-llama/Llama-3-32b,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
Qwen-2.5-72B,https://huggingface.co/Qwen/Qwen2-72B,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
Qwen-Coder-2.5,https://huggingface.co/Qwen/Qwen-2.5-CodeLLaMA,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
Qwen-2.5-4B,https://huggingface.co/Qwen/Qwen2-4B,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
Code Gemma-7B,https://huggingface.co/google/code-gemma-7b,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
Code Gemma-2B,https://huggingface.co/google/code-gemma-2b,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
Gemma-7B,https://huggingface.co/google/gemma-7b,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
Mixtral-8x7B,https://huggingface.co/mistralai/Mixtral-8x7B-v0.1,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
Mistral-7B,https://huggingface.co/mistralai/Mistral-7B-v0.1,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
OpenHermes-2.5-Mistral-7B,https://huggingface.co/teknium/OpenHermes-2.5-Mistral-7B,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
Zephyr-7B,https://huggingface.co/HuggingFaceH4/zephyr-7b-beta,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
Llama-2-70B,https://huggingface.co/meta-llama/Llama-2-70b,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
CodeLlama-34B,https://huggingface.co/codellama/CodeLlama-34b-hf,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
Falcon-180B,https://huggingface.co/tiiuae/falcon-180B,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
Yi-34B,https://huggingface.co/01-ai/Yi-34B,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
MPT-30B,https://huggingface.co/mosaicml/mpt-30b,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
SOLAR-10.7B,https://huggingface.co/upstage/SOLAR-10.7B-v1.0,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
Vicuna-13B,https://huggingface.co/lmsys/vicuna-13b-v1.5,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
BLOOM-176B,https://huggingface.co/bigscience/bloom,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
Pythia-12B,https://huggingface.co/EleutherAI/pythia-12b,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
StableLM-3B,https://huggingface.co/stabilityai/stablelm-3b-4e1t,https://www.google.com/s2/favicons?domain=huggingface.co&sz=32
