Link Title,URL,Icon
3Blue1Brown Neural Networks,https://www.youtube.com/playlist?list=PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
StatQuest ML Basics,https://www.youtube.com/playlist?list=PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
Andrej Karpathy: Neural Networks Zero to Hero,https://www.youtube.com/playlist?list=PLAqhIrjkxbuWI23v9cThsA9GvCAUhRvKZ,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
What are Large Language Models?,https://www.youtube.com/watch?v=5sLYAQS9sWQ,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
How GPT Models Work,https://www.youtube.com/watch?v=VMj-3S1tku0,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
Attention Is All You Need - Paper Explained,https://www.youtube.com/watch?v=iDulhoQ2pro,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
Illustrated Guide to Transformers,https://www.youtube.com/watch?v=4Bdc55j80l8,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
Building GPT from Scratch,https://www.youtube.com/watch?v=kCc8FmEb1nY,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
Fine-tuning LLMs with PEFT,https://www.youtube.com/watch?v=Us5ZFp16PaU,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
Yannic Kilcher LLM Paper Reviews,https://www.youtube.com/playlist?list=PL1v8zpldgH3pR7LPX-RQzeUomqMc_Xw4-,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
Understanding RLHF,https://www.youtube.com/watch?v=2MBJOuVq380,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
Mixture of Experts Explained,https://www.youtube.com/watch?v=UNiK3RiVoHo,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
LangChain Crash Course,https://www.youtube.com/watch?v=LbT1yp6quS8,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
Building RAG Applications,https://www.youtube.com/watch?v=wBhY-7B2jdY,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
State of GPT,https://www.youtube.com/watch?v=bZQun8Y4L2A,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
Scaling Laws Explained,https://www.youtube.com/watch?v=h1NqZvNFbE0,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
Constitutional AI,https://www.youtube.com/watch?v=dC7_sZ2MQPE,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
Sparse Attention Mechanisms,https://www.youtube.com/watch?v=gZIP-_2XYMM,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
Model Merging Techniques,https://www.youtube.com/watch?v=K9QVXE5M9,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
Future of LLMs,https://www.youtube.com/watch?v=AhyznRSDPB4,https://www.google.com/s2/favicons?domain=www.youtube.com&sz=32
