Link Title,URL,Icon
LangChain Text Splitters,https://python.langchain.com/docs/modules/data_connection/document_transformers/,https://www.google.com/s2/favicons?domain=python.langchain.com&sz=32
Unstructured.io,https://unstructured.io/,https://www.google.com/s2/favicons?domain=unstructured.io&sz=32
LlamaIndex,https://www.llamaindex.ai/,https://www.google.com/s2/favicons?domain=www.llamaindex.ai&sz=32
Cleanlab,https://github.com/cleanlab/cleanlab,https://www.google.com/s2/favicons?domain=github.com&sz=32
TextCortex,https://textcortex.com/,https://www.google.com/s2/favicons?domain=textcortex.com&sz=32
DeepSpeed,https://www.deepspeed.ai/,https://www.google.com/s2/favicons?domain=www.deepspeed.ai&sz=32
Doccano,https://github.com/doccano/doccano,https://www.google.com/s2/favicons?domain=github.com&sz=32
Label Studio,https://labelstud.io/,https://www.google.com/s2/favicons?domain=labelstud.io&sz=32
Rubrix,https://github.com/recognai/rubrix,https://www.google.com/s2/favicons?domain=github.com&sz=32
Argilla,https://argilla.io/,https://www.google.com/s2/favicons?domain=argilla.io&sz=32
DataPrep.ai,https://dataprep.ai/,https://www.google.com/s2/favicons?domain=dataprep.ai&sz=32
Haystack,https://haystack.deepset.ai/,https://www.google.com/s2/favicons?domain=haystack.deepset.ai&sz=32
Datasets CLI,https://github.com/huggingface/datasets-cli,https://www.google.com/s2/favicons?domain=github.com&sz=32
Texthero,https://texthero.org/,https://www.google.com/s2/favicons?domain=texthero.org&sz=32
Snorkel,https://snorkel.ai/,https://www.google.com/s2/favicons?domain=snorkel.ai&sz=32
Prodigy,https://prodi.gy/,https://www.google.com/s2/favicons?domain=prodi.gy&sz=32
DataTorch,https://datatorch.io/,https://www.google.com/s2/favicons?domain=datatorch.io&sz=32
Great Expectations,https://greatexpectations.io/,https://www.google.com/s2/favicons?domain=greatexpectations.io&sz=32
Kedro,https://kedro.org/,https://www.google.com/s2/favicons?domain=kedro.org&sz=32
Weights & Biases,https://wandb.ai/,https://www.google.com/s2/favicons?domain=wandb.ai&sz=32
PDFPlumber,https://github.com/jsvine/pdfplumber,https://www.google.com/s2/favicons?domain=github.com&sz=32
Nougat,https://github.com/facebookresearch/nougat,https://www.google.com/s2/favicons?domain=github.com&sz=32
Grobid,https://github.com/kermitt2/grobid,https://www.google.com/s2/favicons?domain=github.com&sz=32
PdfMiner.six,https://github.com/pdfminer/pdfminer.six,https://www.google.com/s2/favicons?domain=github.com&sz=32
OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,https://www.google.com/s2/favicons?domain=github.com&sz=32
Camelot,https://github.com/camelot-dev/camelot,https://www.google.com/s2/favicons?domain=github.com&sz=32
DocTR,https://github.com/mindee/doctr,https://www.google.com/s2/favicons?domain=github.com&sz=32
Tabula,https://tabula.technology/,https://www.google.com/s2/favicons?domain=tabula.technology&sz=32
Adobe PDF Services API,https://developer.adobe.com/document-services/apis/pdf-services/,https://www.google.com/s2/favicons?domain=developer.adobe.com&sz=32
PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,https://www.google.com/s2/favicons?domain=github.com&sz=32
