Link Title,URL,Icon
LangChain,https://github.com/langchain-ai/langchain,https://www.google.com/s2/favicons?domain=github.com&sz=32
LlamaIndex,https://www.llamaindex.ai/,https://www.google.com/s2/favicons?domain=www.llamaindex.ai&sz=32
Semantic Kernel,https://github.com/microsoft/semantic-kernel,https://www.google.com/s2/favicons?domain=github.com&sz=32
vLLM,https://github.com/vllm-project/vllm,https://www.google.com/s2/favicons?domain=github.com&sz=32
Modal,https://modal.com/,https://www.google.com/s2/favicons?domain=modal.com&sz=32
RunPod,https://www.runpod.io/,https://www.google.com/s2/favicons?domain=www.runpod.io&sz=32
Together AI,https://www.together.ai/,https://www.google.com/s2/favicons?domain=www.together.ai&sz=32
TensorRT-LLM,https://github.com/NVIDIA/TensorRT-LLM,https://www.google.com/s2/favicons?domain=github.com&sz=32
GGML,https://github.com/ggerganov/ggml,https://www.google.com/s2/favicons?domain=github.com&sz=32
llama.cpp,https://github.com/ggerganov/llama.cpp,https://www.google.com/s2/favicons?domain=github.com&sz=32
Text Generation Inference,https://github.com/huggingface/text-generation-inference,https://www.google.com/s2/favicons?domain=github.com&sz=32
FastAPI,https://fastapi.tiangolo.com/,https://www.google.com/s2/favicons?domain=fastapi.tiangolo.com&sz=32
Ray Serve,https://docs.ray.io/en/latest/serve/index.html,https://www.google.com/s2/favicons?domain=docs.ray.io&sz=32
Weights & Biases,https://wandb.ai/,https://www.google.com/s2/favicons?domain=wandb.ai&sz=32
LangSmith,https://smith.langchain.com/,https://www.google.com/s2/favicons?domain=smith.langchain.com&sz=32
LocalAI,https://github.com/go-skynet/LocalAI,https://www.google.com/s2/favicons?domain=github.com&sz=32
Ollama,https://ollama.ai/,https://www.google.com/s2/favicons?domain=ollama.ai&sz=32
AWS SageMaker,https://aws.amazon.com/sagemaker/,https://www.google.com/s2/favicons?domain=aws.amazon.com&sz=32
Google Vertex AI,https://cloud.google.com/vertex-ai,https://www.google.com/s2/favicons?domain=cloud.google.com&sz=32
Azure ML,https://azure.microsoft.com/en-us/services/machine-learning/,https://www.google.com/s2/favicons?domain=azure.microsoft.com&sz=32
