Link Title,URL,Icon
Auto-GPT,https://github.com/Significant-Gravitas/Auto-GPT,https://www.google.com/s2/favicons?domain=github.com&sz=32
GPT4All,https://gpt4all.io/,https://www.google.com/s2/favicons?domain=gpt4all.io&sz=32
PrivateGPT,https://github.com/imartinez/privateGPT,https://www.google.com/s2/favicons?domain=github.com&sz=32
ChatBot UI,https://github.com/mckaywrigley/chatbot-ui,https://www.google.com/s2/favicons?domain=github.com&sz=32
OpenAssistant,https://open-assistant.io/,https://www.google.com/s2/favicons?domain=open-assistant.io&sz=32
Jan,https://github.com/janhq/jan,https://www.google.com/s2/favicons?domain=github.com&sz=32
MiniGPT-4,https://github.com/Vision-CAIR/MiniGPT-4,https://www.google.com/s2/favicons?domain=github.com&sz=32
LocalGPT,https://github.com/PromtEngineer/localGPT,https://www.google.com/s2/favicons?domain=github.com&sz=32
GPT Engineer,https://github.com/gpt-engineer-org/gpt-engineer,https://www.google.com/s2/favicons?domain=github.com&sz=32
OpenChat,https://github.com/openchatai/OpenChat,https://www.google.com/s2/favicons?domain=github.com&sz=32
H2O GPT,https://github.com/h2oai/h2ogpt,https://www.google.com/s2/favicons?domain=github.com&sz=32
Dalai,https://github.com/cocktailpeanut/dalai,https://www.google.com/s2/favicons?domain=github.com&sz=32
LangChain,https://github.com/langchain-ai/langchain,https://www.google.com/s2/favicons?domain=github.com&sz=32
LlamaIndex,https://github.com/jerryjliu/llama_index,https://www.google.com/s2/favicons?domain=github.com&sz=32
LocalAI,https://github.com/go-skynet/LocalAI,https://www.google.com/s2/favicons?domain=github.com&sz=32
Text Generation WebUI,https://github.com/oobabooga/text-generation-webui,https://www.google.com/s2/favicons?domain=github.com&sz=32
Semantic Kernel,https://github.com/microsoft/semantic-kernel,https://www.google.com/s2/favicons?domain=github.com&sz=32
Transformers.js,https://github.com/xenova/transformers.js,https://www.google.com/s2/favicons?domain=github.com&sz=32
Haystack,https://github.com/deepset-ai/haystack,https://www.google.com/s2/favicons?domain=github.com&sz=32
vLLM,https://github.com/vllm-project/vllm,https://www.google.com/s2/favicons?domain=github.com&sz=32
GPT4All,https://github.com/nomic-ai/gpt4all,https://www.google.com/s2/favicons?domain=github.com&sz=32
PrivateGPT,https://github.com/imartinez/privateGPT,https://www.google.com/s2/favicons?domain=github.com&sz=32
Flowise,https://github.com/FlowiseAI/Flowise,https://www.google.com/s2/favicons?domain=github.com&sz=32
Chroma,https://github.com/chroma-core/chroma,https://www.google.com/s2/favicons?domain=github.com&sz=32
LiteLLM,https://github.com/BerriAI/litellm,https://www.google.com/s2/favicons?domain=github.com&sz=32
Ollama,https://github.com/jmorganca/ollama,https://www.google.com/s2/favicons?domain=github.com&sz=32
OpenLLM,https://github.com/bentoml/OpenLLM,https://www.google.com/s2/favicons?domain=github.com&sz=32
LMStudio,https://github.com/lmstudio-ai/lmstudio,https://www.google.com/s2/favicons?domain=github.com&sz=32
Guidance,https://github.com/microsoft/guidance,https://www.google.com/s2/favicons?domain=github.com&sz=32
Langflow,https://github.com/logspace-ai/langflow,https://www.google.com/s2/favicons?domain=github.com&sz=32
FastChat,https://github.com/lm-sys/FastChat,https://www.google.com/s2/favicons?domain=github.com&sz=32
Text Generation Inference,https://github.com/huggingface/text-generation-inference,https://www.google.com/s2/favicons?domain=github.com&sz=32
